Product,Release Year,Ranking Office,Ranking Gaming,Ranking Editing,Ranking General,Brand,Coating,Length (mm),Width (mm),Height (mm),Grip Width (mm),Ambidextrous,Left-Handed Friendly,Finger Rest,Default Weight (gm),Weight Distribution,Maximum Of Paired Devices,Battery Type,Connectivity,Cable Length (m),Mouse Feet Material,Switch Type,Switch Model,Total Number Of Buttons,Number Of Side Buttons,Profile Switching Button,Scroll Wheel Type,Software Windows Compatibility,Software macOS Compatibility
SteelSeries Prime Mini Wireless,2021,7.9,8.3,7.9,,SteelSeries,Matte,121.0,65.0,41.0,62.0,No,No,No,107.0,Centered,,Rechargeable,Wireless,2.1,Virgin Grade PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
SteelSeries Prime Mini,2021,7.0,8.5,8.0,,SteelSeries,Matte,120.8,65.0,41.0,62.0,No,No,No,95.08,Centered,,No Batteries,Wired,2.0,Virgin Grade PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
Ninjutso Origin One X,2021,6.7,7.5,6.1,,Ninjutso,Matte,122.2,65.6,39.7,63.0,No,No,No,99.64,Centered,,Rechargeable,Wireless,1.65,Virgin Grade PTFE,,,6,2,No,Notched Wheel,No,No
Dream Machines DM6 Holey S,2020,6.8,7.9,7.1,,Dream Machines,Matte,128.2,66.3,40.4,61.0,No,No,No,95.91,Centered,,No Batteries,Wired,1.8,PTFE,,,8,2,No,Notched Wheel,Yes,No
Dream Machines DM1 FPS,2018,6.7,7.9,6.9,,Dream Machines,Matte,125.8,68.2,39.3,65.0,Yes,No,No,110.73,Centered,,No Batteries,Wired,1.8,PTFE,,,6,2,No,Notched Wheel,Yes,No
HP OMEN Vector Wireless,2020,8.0,7.6,7.3,,HP,Matte,128.1,74.7,42.2,62.0,No,No,Thumb,142.3,Back-heavy,,Rechargeable,Wireless,1.55,PTFE,,,6,2,No,Notched Wheel,Yes,No
HP OMEN Photon,2019,8.2,7.1,7.6,,HP,Matte,130.4,60.0,43.2,59.0,Yes,No,Thumb and Pinky,181.12,Back-heavy,,Rechargeable,Wireless,1.75,PTFE,,,11,4,No,Notched Wheel,Yes,No
G-Wolves Skoll SK-L ACE Edition,2019,7.0,8.2,7.2,,G-Wolves,Matte,125.1,67.6,42.5,63.0,No,No,No,101.86,Centered,,No Batteries,Wired,1.9,PTFE,,,7,2,No,Notched Wheel,Yes,No
Pwnage Ultra Custom Ergo ,2021,7.3,7.8,7.2,,Pwnage,Matte,120.7,66.1,43.0,60.0,No,No,No,118.47,Centered,,No Batteries,Wired,1.85,PTFE,,,6,2,No,Notched Wheel,Yes,No
MSI CLUTCH GM41 LIGHTWEIGHT WIRELESS,2021,7.7,8.2,7.2,,MSI,Matte,131.0,67.1,38.2,60.0,Yes,No,No,113.18,Centered,,Rechargeable,Wireless,2.0,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
